feature,importance
log_unique_customers,0.39198127
article_popularity,0.17767781
log_popularity,0.078079686
unique_articles,0.043866277
svd_8,0.030997079
purchase_frequency,0.029816348
svd_34,0.014044087
svd_19,0.013819902
svd_9,0.012362211
svd_35,0.011315005
svd_36,0.010031261
avg_purchase_value,0.009794925
price_diff,0.009252453
svd_11,0.007802263
article_avg_price,0.007201458
svd_29,0.006113356
favorite_index_encoded,0.005922954
svd_26,0.005883105
favorite_color_encoded,0.0052201767
svd_37,0.004615061
svd_27,0.0043909606
svd_21,0.004124761
svd_40,0.0037295618
total_spent,0.0036039352
svd_1,0.0035188969
svd_10,0.0035024807
svd_2,0.0034218417
svd_13,0.0033909187
svd_20,0.0033340317
svd_12,0.0032889068
svd_28,0.0032549377
svd_61,0.0032077015
svd_15,0.0030384653
svd_14,0.0030092227
svd_6,0.0030019423
svd_17,0.002921357
svd_39,0.0028909424
svd_0,0.0028532767
svd_49,0.0028304148
svd_47,0.0028256977
svd_45,0.00280374
svd_24,0.0027998749
svd_42,0.0027893397
svd_4,0.0025855794
svd_59,0.0022799782
svd_16,0.0021524644
svd_55,0.002126456
svd_53,0.0020305843
recency_days,0.0020203064
svd_50,0.001908514
svd_32,0.0019011049
svd_25,0.0019006784
svd_5,0.0018598655
svd_51,0.0017221281
svd_3,0.0017076334
svd_33,0.0016536617
svd_62,0.0016365227
svd_31,0.0016274432
svd_44,0.0015882496
svd_48,0.0015698934
svd_7,0.0015380641
svd_30,0.0015287505
svd_22,0.0014131594
svd_57,0.0013547728
svd_60,0.0013497667
svd_56,0.0012791472
svd_23,0.0012221495
svd_43,0.0012175877
svd_63,0.0010180835
svd_58,0.00096919906
svd_18,0.0009516673
svd_54,0.0007922159
svd_38,0.00078124757
svd_46,0.0006751055
svd_52,0.00066049874
svd_41,0.0006477077
is_expensive_for_user,0.0
